Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted
NASDAQ:ICON	1	5.55				0	0
NASDAQ:SBLK	1	31.13	2025-12-05	0.075		0	0
NYSE:DSX	1	2.85				0	0
NYSE:TEN	1	38.03	2026-02-11	0.375		0	0
NYSE:GSL	1	54.31	2025-11-21	0.53125		0	0
NASDAQ:IMPP	1	5.70				0	0
NASDAQ:GASS	1	11.98				0	0
NASDAQ:SHIP	1	14.63	2025-12-29	0.0825		0	0
NYSE:NMM	1	84.97	2025-11-10	0.05		0	0
NYSE:DAC	1	148.09	2025-12-02	0.8625		0	0
NASDAQ:ESEA	1	83.72	2025-12-09	0.5125		0	0
NYSE:DD	0.9295253157615662	47.00	2025-11-28	0.4025	Buy 61 at $44.15 ~= $2,693	0	0
NYSE:ELME	0.7601757645606995	3.11	2026-01-08	0.18	Buy 917 at $2.98 ~= $2,733	0	0
NASDAQ:AVGO	0.6564652919769287	360.80	2025-12-22	0.605	Buy 5 at $347.39 ~= $1,737	437.815994032634	470.8250381700268
NASDAQ:NVDA	0.5866401195526123	192.89	2025-12-04	0.01		244.75505786684292	246.86009700694015
NASDAQ:EA	0.5267542600631714	210.93	2025-12-03	0.19		0	0
NASDAQ:AMD	0.4748428463935852	213.62				0	0
NASDAQ:RMBS	0.47147735953330994	98.24				0	0
NYSE:NPKI	0.4606015384197235	12.98				0	0
NYSE:NLOP	0.4534926414489746	20.96	2026-01-02	0		0	0
