date,symbol,amount
2026-08-31,NYSE:DD,0.6
2026-08-17,NASDAQ:VISN,10
2026-08-28,NASDAQ:VISN,5
2026-09-15,NYSE:TSLX,0.42
2026-08-17,NYSE:GNK,0.8
2026-08-03,NYSE:SITC,1
2026-08-14,NYSE:PNNT,0.08
2026-07-27,NYSE:WIT,0.020775
2026-09-15,NYSE:TDS,0.04
2026-07-24,NASDAQ:GAIN,0.08
2026-08-18,NASDAQ:GAIN,0.08
2026-07-31,NASDAQ:PAGP,0.4175
2026-08-14,NASDAQ:TRIN,0.17
2026-09-10,NASDAQ:TRIN,0.17
2026-08-07,NYSE:HDB,0.408605
2026-09-01,NASDAQ:PANL,0.1
2026-08-24,NYSE:LYB,0.69
2026-08-14,NYSE:OGN,0.02
2026-09-22,NASDAQ:ADAM,0.3
2026-08-04,NASDAQ:FIBK,0.47
2026-09-10,NYSE:TU,0.134419
2026-09-25,NASDAQ:SHIP,0.35
2026-07-23,NYSE:TEN,1
2026-08-19,NYSE:GPRK,0.023
2026-09-09,NASDAQ:ESEA,0.8
2026-07-31,NYSE:SCM,0.0833
2026-08-10,NYSE:ING,0.461115
2026-08-31,NYSE:CPA,1.71
2026-08-31,NYSE:DOW,0.35
2026-08-17,NYSE:DHT,1.22
2026-08-06,NASDAQ:NWBI,0.2
2026-07-31,NASDAQ:PAA,0.4175
2026-07-28,NASDAQ:SND,0.1
2026-09-03,NYSE:AAT,0.34
2026-09-30,NASDAQ:CGBD,0.35
2026-07-28,NYSE:NEXA,0.132136
2026-09-30,NYSE:TTE,1.038892
2026-09-11,NASDAQ:AMSF,0.41
2026-08-28,NASDAQ:COLB,0.37
2026-08-17,NYSE:INN,0.08
2026-08-21,NYSE:AU,1.315
2026-09-03,NYSE:NE,0.5
2026-08-12,NASDAQ:KRNY,0.11
2026-10-15,NASDAQ:RILY,1.015625
2026-08-04,NYSE:ITUB,0.003308
2026-09-02,NYSE:ITUB,0.003308
2026-10-02,NYSE:ITUB,0.003308
2026-11-04,NYSE:ITUB,0.003308
2026-12-02,NYSE:ITUB,0.003308
2026-08-17,NYSE:DOC,0.10167
2026-08-28,NYSE:ASC,0.79
2026-07-22,NASDAQ:APA,0.25
2026-08-14,NYSE:GSK,0.45152
2026-08-14,NYSE:EQNR,0.39
2026-11-16,NYSE:EQNR,0.39
2026-08-17,NYSE:ARR,0.24
2026-09-30,NYSE:KBDC,0.4
2026-09-04,NYSE:ORI,0.315
2026-09-10,NASDAQ:KSPI,2.149
2026-08-14,NASDAQ:MSBI,0.33
2026-09-23,NYSE:ABEV,0.013966
2026-08-07,NASDAQ:CFFN,0.085
2026-07-31,NYSE:F,0.40625
2026-08-11,NYSE:F,0.15
2026-07-31,NYSE:EFC,0.13
2026-07-30,NYSE:TWO,0.12196
2026-09-15,NYSE:NXRT,0.53
2026-08-17,NYSE:SXC,0.12
2026-07-24,NYSE:PFE,0.43
2026-09-03,NYSE:FLNG,0.75
2026-08-21,NASDAQ:CCOI,0.02
2026-10-07,NASDAQ:CMCSA,0.33
2026-09-30,NYSE:BGS,0.095
2026-08-14,NYSE:ABR,0.17
