date,symbol,amount
2025-11-12,NYSE:SEM,0.0625
2026-03-02,NYSE:SEM,0.0625
2025-11-13,NYSE:ETR,0.64
2026-02-09,NYSE:ETR,0.64
2025-11-28,BATS:CBOE,0.72
2025-12-01,NYSE:ALIT,0.04
2025-12-01,NYSE:ALL,1
2026-03-02,NYSE:ALL,1.08
2025-11-24,NYSE:TEO,0.048569
2025-09-26,NYSE:DHR,0.32
2025-12-26,NYSE:DHR,0.32
2025-12-12,NASDAQ:CME,1.25
2026-03-10,NASDAQ:CME,7.45
2025-09-30,NASDAQ:XRX,0.025
2025-12-31,NASDAQ:XRX,0.025
2025-12-09,NYSE:CNI,0.641021
2025-10-02,NYSE:PGR,0.1
2026-01-02,NYSE:PGR,13.6
2025-11-10,NASDAQ:EXC,0.4
2026-03-02,NASDAQ:EXC,0.42
2025-09-19,NASDAQ:LAMR,1.55
2025-12-22,NASDAQ:LAMR,1.8
