Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted	eps	AnalystTargetPrice
NASDAQ:VISN	1	15.25	2026-04-28	0	GTC: delete	23.9853916032162	38.000321931295666	6.2751	22.38
NYSE:SITC	1	8.45				25.692932480172107	94.77947326230618	3.3894	5.50
NASDAQ:TASK	1	9.66	2026-03-26	0		22.74794799622937	52.844176438277366	2.8010	12.00
NYSE:DD	1	70.35	2026-05-15	0.3575		65.49462354796592	47.19100619304233	-1.9006	55.87
NYSE:NLOP	1	20.04	2026-03-30	0		103.5740075202576	145.83997921006855	-9.8057	46.00
NYSE:ELME	1	3.30				-1.4596813015794954	6.161118127925673	-1.7349	18.00
NASDAQ:VIAV	0.9633772969245911	48.24				45.77977670625344	51.846030110955915	-0.1802	30.93
NASDAQ:PBYI	0.7732834815979004	8.08				24.74900053081641	35.15964238380688	0.6108	5.00
NASDAQ:JBIO	0.77262943983078	28.71				0	0	-2.5835	28.71
NASDAQ:ISTR	0.7618480920791626	29.70	2026-03-31	0.10875		0	0	2.0834	33.17
NYSE:HPE	0.7586721777915955	29.49	2026-03-24	0.13325		16.662735100952897	49.96561839302878	-0.1176	26.43
NYSE:WLK	0.7498844265937805	117.85	2026-03-03	0		138.13928949565772	172.9062186668624	-11.7736	119.93
NASDAQ:WDFC	0.7454093098640442	234.83	2026-04-17	0.98		280.46748956629847	294.88658785809815	5.9446	249.50
NASDAQ:LOPE	0.7450038194656372	176.84				453.37155676022115	479.2213466576004	7.9640	213.00
NASDAQ:INTR	0.7324203848838806	8.19	2026-02-20	0.15575		-0.599855933045563	2.4261413788181754	0.7397	10.24
NYSE:UMC	0.7169773578643799	12.39			ADR	446.78651207876885	856.886336543344	7.8242	8.69
NYSE:XPRO	0.7136263847351074	18.96				22.266017252083312	46.413153523379926	0.4543	17.60
NASDAQ:LITE	0.7130911946296692	877.20				784.8608099085342	847.3615416926933	3.5238	773.35
NASDAQ:FWRD	0.7001166939735413	23.90				-4.9787934434148475	-31.736698244904023	-3.4162	35.00
NASDAQ:ICHR	0.6929818391799927	73.25				70.21146891655033	85.00586711636616	-1.9061	50.43
